"id" "uid" "reg_no" "batch" "biobank_id" "breed" "sex" "sex_name" "born" "event_age_days" "X1a_contact_greeting" "X1b_contact_cooperation" "X1c_contact_handling" "X2a_playful_delight" "X2b_playful_catching" "X2c_playful_catch_drag" "X3a_chase1" "X3a_chase2" "X3b_catching1" "X3b_catching2" "X4_activity" "X5a_avst_playful_interest" "X5b_avst_playful_aggression" "X5c_avst_playful_curiosity" "X5d_avst_playful_delight" "X5e_avst_playful_cooperation" "X6a_surprise_fear" "X6b_surprise_aggression" "X6c_surprise_curiosity" "X6d_surprise_kv_fear" "X6e_surprise_kv_intr" "X7a_noise_fear" "X7b_noise_curiosity" "X7c_noise_kv_fear" "X7d_noise_kv_interest" "X8a_phantom_aggression" "X8b_phantom_control" "X8c_phantom_fear" "X8d_phantom_curiosity" "X8e_phantom_contact" "X9a_playful2_delight" "X9b_playful2_catching" "X10_firearm" "sociability" "curfear" "playfulness" "chapro" "aggres"
"CFA009111" "S58090/2009_596" "S58090/2009" "MH2014" "CFA009111" "GSD" 1 "M" 20090912 596 3 3 2 4 3 5 1 1 1 1 3 3 1 2 3 3 3 1 3 1 1 4 2 1 1 3 4 4 3 3 4 3 1 2.67 3.43 3.8 1 1.67
"CFA009112" "S65472/2008_555" "S65472/2008" "MH2014" "CFA009112" "GSD" 1 "M" 20081003 555 3 3 3 4 3 5 1 1 1 1 2 4 1 5 4 5 4 1 5 1 2 3 5 1 1 1 4 1 5 2 4 4 1 3 3.71 4 1 1
"CFA009113" "S55094/2008_464" "S55094/2008" "MH2014" "CFA009113" "GSD" 1 "M" 20080718 464 4 4 4 4 5 5 4 4 5 5 3 5 1 5 5 5 3 1 5 1 1 1 5 1 2 3 5 2 5 4 5 5 1 4 4.29 4.8 4.5 1.67
"CFA009114" "S54178/2009_617" "S54178/2009" "MH2014" "CFA009114" "GSD" 0 "F" 20090724 617 4 4 2 4 4 4 1 1 1 1 2 3 1 5 4 2 1 1 5 1 1 1 5 1 2 3 4 5 2 3 3 4 1 3.33 5 3.8 1 1.67
"CFA009115" "S49659/2008_724" "S49659/2008" "MH2014" "CFA009115" "GSD" 0 "F" 20080625 724 3 3 4 3 3 3 1 1 1 1 3 3 1 2 2 2 4 1 2 1 1 4 3 1 1 2 4 2 2 3 3 3 1 3.33 3 3 1 1.33
"CFA009116" "S13534/2009_452" "S13534/2009" "MH2014" "CFA009116" "GSD" 0 "F" 20081223 452 3 4 4 5 4 5 4 4 5 5 3 3 1 5 5 4 3 3 3 1 2 2 5 1 1 2 4 5 4 3 5 4 1 3.67 4.29 4.6 4.5 2
"CFA009117" "S22114/2008_420" "S22114/2008" "MH2014" "CFA009117" "GSD" 1 "M" 20080307 420 3 3 3 4 3 5 1 1 1 1 4 3 1 5 5 5 3 1 3 1 2 1 5 1 1 1 4 1 4 2 4 3 1 3 3.86 3.8 1 1
"CFA009118" "S45350/2008_473" "S45350/2008" "MH2014" "CFA009118" "GSD" 1 "M" 20080513 473 4 4 4 5 5 5 4 4 5 5 5 4 1 5 5 4 1 2 5 1 1 2 4 1 3 1 4 2 4 4 4 4 1 4 4.29 4.6 4.5 1.33
"CFA009120" "S11772/2008_660" "S11772/2008" "MH2014" "CFA009120" "GSD" 0 "F" 20071207 660 3 3 3 5 4 3 1 1 1 1 4 3 1 1 1 1 3 2 4 1 1 3 4 1 1 2 3 2 2 3 4 3 1 3 3.71 3.8 1 1.67
"CFA009123" "S58245/2009_437" "S58245/2009" "MH2014" "CFA009123" "GSD" 1 "M" 20090826 437 4 4 4 4 5 4 4 4 5 5 4 3 2 4 4 4 3 1 3 1 1 4 5 1 1 1 3 2 3 3 4 4 1 4 3.57 4.2 4.5 1.33
"CFA009124" "S40566/2008_488" "S40566/2008" "MH2014" "CFA009124" "GSD" 0 "F" 20080505 488 3 4 4 4 4 4 1 1 1 1 4 3 1 2 3 3 3 2 3 1 1 1 5 1 1 1 4 1 5 4 4 4 1 3.67 3.86 4 1 1.33
"CFA009125" "S40201/2008_401" "S40201/2008" "MH2014" "CFA009125" "GSD" 0 "F" 20080508 401 4 3 5 3 3 3 1 1 1 1 4 2 1 2 4 2 3 3 3 1 2 2 4 1 3 3 4 4 3 4 4 3 1 4 4 3.2 1 2.33
"CFA009131" "S59609/2007_415" "S59609/2007" "MH2014" "CFA009131" "GSD" 1 "M" 20070816 415 3 1 3 5 5 3 4 4 5 5 4 3 1 2 4 3 1 1 3 1 2 1 4 1 1 2 5 4 4 3 5 5 1 2.33 4.43 4.6 4.5 1.33
"CFA009132" "S56180/2009_451" "S56180/2009" "MH2014" "CFA009132" "GSD" 1 "M" 20090819 451 4 3 2 5 4 5 4 4 5 5 3 3 1 3 5 3 3 3 3 1 3 3 5 1 1 3 4 4 2 4 5 3 1 3 4 4.4 4.5 2.33
"CFA009133" "SE38741/2010_483" "SE38741/2010" "MH2014" "CFA009133" "GSD" 0 "F" 20100501 483 3 3 4 4 3 3 1 1 1 1 3 3 1 2 1 1 3 1 2 2 1 3 2 1 1 1 2 2 5 3 4 3 1 3.33 3 3.4 1 1
"CFA009134" "SE41090/2010_483" "SE41090/2010" "MH2014" "CFA009134" "GSD" 1 "M" 20100508 483 4 4 3 4 4 5 4 4 5 5 3 3 1 5 5 3 3 2 5 1 1 1 5 1 2 1 4 1 5 4 4 4 1 3.67 4.14 4.2 4.5 1.33
"CFA009135" "S41750/2009_447" "S41750/2009" "MH2014" "CFA009135" "GSD" 0 "F" 20090517 447 3 3 3 3 3 3 1 1 1 1 3 3 2 1 1 1 5 3 3 1 2 3 5 1 1 3 4 5 3 4 3 4 1 3 3.86 3.2 1 2.67
"CFA009136" "SE39502/2010_393" "SE39502/2010" "MH2014" "CFA009136" "GSD" 1 "M" 20100430 393 4 4 4 4 3 5 1 1 1 1 3 3 1 2 4 3 3 3 5 1 2 3 5 1 1 3 5 1 4 4 4 4 1 4 3.86 4 1 2.33
"CFA009137" "S45049/2008_553" "S45049/2008" "MH2014" "CFA009137" "GSD" 0 "F" 20080511 553 4 3 3 4 4 1 1 1 1 1 3 3 1 3 2 2 3 1 1 3 2 3 2 1 1 1 4 2 3 4 3 3 2 3.33 2.71 3 1 1
"CFA009138" "S30607/2009_423" "S30607/2009" "MH2014" "CFA009138" "GSD" 1 "M" 20090318 423 5 4 4 4 3 4 1 1 1 1 3 2 1 4 3 1 3 2 4 3 2 3 5 1 1 2 3 3 5 4 4 4 1 4.33 3.71 3.8 1 1.67
"CFA009139" "S24274/2008_443" "S24274/2008" "MH2014" "CFA009139" "GSD" 1 "M" 20080214 443 4 3 4 5 4 5 1 4 1 4 4 5 1 5 5 3 3 1 5 1 1 1 5 1 2 1 4 1 3 4 5 5 1 3.67 4.14 4.8 2.5 1
"CFA009140" "S21118/2007_498" "S21118/2007" "MH2014" "CFA009140" "GSD" 0 "F" 20070123 498 4 3 3 4 5 4 4 4 5 5 3 4 1 5 5 3 3 3 3 1 3 2 5 1 2 1 3 2 5 4 4 3 1 3.33 3.86 4 4.5 1.67
"CFA009141" "S28482/2009_559" "S28482/2009" "MH2014" "CFA009141" "GSD" 0 "F" 20090208 559 4 3 3 2 3 3 1 1 1 1 2 3 1 1 1 1 4 2 1 4 2 4 1 4 1 0 0 0 0 0 0 0 0 3.33 1.43 1.6 1 1
"CFA009142" "S30911/2008_436" "S30911/2008" "MH2014" "CFA009142" "GSD" 0 "F" 20080228 436 3 2 3 5 3 4 4 4 5 5 4 4 2 2 2 2 2 1 5 1 2 1 5 1 2 3 4 4 3 3 4 3 1 2.67 4.71 3.8 4.5 2
